time,CD_Level,CD_Press,CD_CondTemp,RXP(%),RCPFlowoutLP1(kg/s),RCPFlowoutLP2(kg/s),RXCTin (K),RXCTout (K),PZp (Pa),PZZ (m),SG1_SteamTemp,SG2_SteamTemp,SG1_Press,SG1_Level,SG2_Level,TB_InSteamFlow,CR_PosCmd,RX_MeanCoolTemp,SG1_Level.1,TB_InSteamPress,FW_Pump1Flow,FW_Pump1Speed,RC1_PumpFlow,RC1_PumpSpeed,SG1_Press.1,PZ_Press,PZ_Level,RX_ReactorPower,RX_ReactorPower.1,PZ_CL1SprayValveCmd,CC_PumpSpeed,CC_PumpOnOff,CD_Press.1,tout,currenttime,CTRL_RXPowerSetpoint,time.1,locrem,local_rxpowsetpoint,RPS_En,label,Year,Month,Day,Hour,Minute,Second,Millisecond,Time,Actual,Predicted,Error,Normalized error,Classification
115.0,1.0559882881233968,5656.557709374838,307.96104083518884,95.68935431360453,8819.07983503869,8819.079842834302,564.1978600251257,590.8728547542861,15099879.38766441,6.001086095168153,554.6020152118817,554.6020152249303,6558180.515261239,0.5727405139912736,0.5727405137829199,1460.5037510980278,826.4312643079544,577.5090659686855,0.5727405139912736,6558180.515903324,739.7859371032304,100.0,8819.07983503869,99.8718254033717,6558180.515261239,15099879.38766441,6.001086095168153,95.68935431360453,95.68935431360453,0.0,10129.401114772827,1,5656.557709374838,2024-01-23 01:30:15.180999994,2024-01-23 01:30:15.181,0,,,,,Normal,2024,1,23,1,30,15,180,115.0,100.0,94.94652,5.0534820556640625,0.0519114653121424,0
115.10000000000001,1.0567063056169232,5655.419141539825,307.9572964342776,95.6816308823501,8819.139570567164,8819.13957836193,564.1892669944921,590.859731857017,15099861.395446388,6.001087233410611,554.5962758636088,554.5962758766512,6557615.678262571,0.5731039706712528,0.5731039704630132,1460.279007022117,826.4161915068504,577.4982141417058,0.5731039706712528,6557615.678904355,739.88190666236,100.0,8819.139570567164,99.87170673505977,6557615.678262571,15099861.395446388,6.001087233410611,95.6816308823501,95.6816308823501,0.0,10134.220095809365,1,5655.419141539825,2024-01-23 01:30:15.273999929,2024-01-23 01:30:15.274,0,,,,,Normal,2024,1,23,1,30,15,273,115.10000000000001,100.0,94.97006,5.029937744140625,0.051669608371228304,0
115.2,1.0574205745912046,5654.295802252846,307.9536021153969,95.67397855156283,8819.19856334088,8819.198571134802,564.1807647981218,590.8467233277413,15099843.379539803,6.001088373194073,554.5906654060084,554.5906654190446,6557063.526017849,0.5734717429891308,0.573471742781006,1460.0659445177796,826.4013347167236,577.487464870982,0.5734717429891308,6557063.52665933,739.9762202677231,100.0,8819.19856334088,99.87158861038417,6557063.526017849,15099843.379539803,6.001088373194073,95.67397855156283,95.67397855156283,0.0,10139.01370446371,1,5654.295802252846,2024-01-23 01:30:15.377000093,2024-01-23 01:30:15.377,0,,,,,Normal,2024,1,23,1,30,15,377,115.2,100.0,94.992935,5.0070648193359375,0.051434648193373324,0
115.30000000000001,1.0581311375883546,5653.189889386781,307.9499651066776,95.66639460025787,8819.256774469872,8819.256782262957,564.1723596936423,590.8338287953698,15099825.339915436,6.0010895145205625,554.585163045709,554.5851630587423,6556522.0714472085,0.5738438962134317,0.5738438960054209,1459.8650397244144,826.3866918569827,577.4768211031115,0.5738438962134317,6556522.072088389,740.0688651806661,100.0,8819.256774469872,99.8714710707107,6556522.0714472085,15099825.339915436,6.0010895145205625,95.66639460025787,95.66639460025787,0.0,10143.783450809593,1,5653.189889386781,2024-01-23 01:30:15.470999956,2024-01-23 01:30:15.471,0,,,,,Normal,2024,1,23,1,30,15,470,115.30000000000001,100.0,95.01511,4.984893798828125,0.05120689826780742,0
115.4,1.0588380376389792,5652.10312151624,307.9463910599852,95.65887582812101,8819.314176553613,8819.314184345867,564.1640570600096,590.8210493361278,15099807.276544033,6.001090657392099,554.5797473470944,554.5797473601217,6555989.216804794,0.5742205040219633,0.5742205038140661,1459.6764251265383,826.3722607852774,577.4662860674164,0.5742205040219633,6555989.217445675,740.1598578726118,100.0,8819.314176553613,99.87135414604539,6555989.216804794,15099807.276544033,6.001090657392099,95.65887582812101,95.65887582812101,0.0,10148.530917081867,1,5652.10312151624,2024-01-23 01:30:15.573999882,2024-01-23 01:30:15.574,0,,,,,Normal,2024,1,23,1,30,15,573,115.4,100.0,95.03658,4.963417053222656,0.05098628022222311,0
115.5,1.0595413173349446,5651.03670379702,307.94288393870806,95.65141876766535,8819.370755824264,8819.370763615674,564.1558610086322,590.8083871430101,15099789.18939631,6.001091801810707,554.5743974140971,554.5743974271184,6555462.832890705,0.5746016430091941,0.5746016428014102,1459.4999060652183,826.3580392954401,577.4558629163067,0.5746016430091941,6555462.833531288,740.2492426598969,100.0,8819.370755824264,99.8712378528529,6555462.832890705,15099789.18939631,6.001091801810707,95.65141876766535,95.65141876766535,0.0,10153.25772533421,1,5651.03670379702,2024-01-23 01:30:15.678999901,2024-01-23 01:30:15.679,0,,,,,Normal,2024,1,23,1,30,15,678,115.5,100.0,95.05739,4.9426116943359375,0.05077255893969792,0
115.60000000000001,1.0602410179733497,5649.991313685362,307.93944597079224,95.64401989857545,8819.426511697151,8819.426519487712,564.1477741388911,590.7958451730535,15099771.07844296,6.00109294777842,554.5690920467227,554.5690920597378,6554940.833821622,0.5749873875717386,0.5749873873640682,1459.3349876000077,826.3440251220086,577.4455544268442,0.5749873875717386,6554940.834461907,740.3370893614899,100.0,8819.426511697151,99.8711221944606,6554940.833821622,15099771.07844296,6.00109294777842,95.64401989857545,95.64401989857545,0.0,10157.965504268945,1,5649.991313685362,2024-01-23 01:30:15.780999899,2024-01-23 01:30:15.781,0,,,,,Normal,2024,1,23,1,30,15,780,115.60000000000001,100.0,95.07756,4.9224395751953125,0.050565342558694396,0
115.7,1.0609371787958835,5648.967104983943,307.93607766204775,95.63667583494308,8819.481456057414,8819.481463847147,564.1397974221003,590.7834267838301,15099752.94365463,6.001094095297262,554.563810573869,554.5638105868812,6554421.245083518,0.5753778052973932,0.5753778050898362,1459.1809100504647,826.3302159501281,577.4353627612054,0.5753778052973932,6554421.245723506,740.4234901397442,100.0,8819.481456057414,99.87100716172802,6554421.245083518,15099752.94365463,6.001094095297262,95.63667583494308,95.63667583494308,0.0,10162.655856505487,1,5648.967104983943,2024-01-23 01:30:15.872999907,2024-01-23 01:30:15.873,0,,,,,Normal,2024,1,23,1,30,15,872,115.7,100.0,95.09714,4.902862548828125,0.050364239217675084,0
115.80000000000001,1.061629836345217,5647.963729898552,307.9327778686858,95.62938348451719,8819.535614870016,8819.5356226589,564.1319300801638,590.7711353787661,15099734.78500195,6.0010952443692664,554.5585345852313,554.5585345982375,6553902.26368429,0.5757729528729123,0.5757729526654687,1459.0366913646174,826.3166094302272,577.4252892288885,0.5757729528729123,6553902.26432398,740.5085557003263,100.0,8819.535614870016,99.87089273139522,6553902.26368429,15099734.78500195,6.0010952443692664,95.62938348451719,95.62938348451719,0.0,10167.330327408024,1,5647.963729898552,2024-01-23 01:30:15.973000050,2024-01-23 01:30:15.973,0,,,,,Normal,2024,1,23,1,30,15,973,115.80000000000001,100.0,95.11617,4.883827209472656,0.05016870031048757,0
115.9,1.0623190239535911,5646.9803775731125,307.92954392404914,95.62214021187695,8819.589027905296,8819.589035693374,564.1241695225622,590.7589740804061,15099716.602455515,6.0010963949964715,554.553248696216,554.5532487092162,6553382.30841794,0.5761728726855834,0.5761728724782539,1458.9011744636446,826.3032031970176,577.4153340920686,0.5761728726855834,6553382.309057331,740.5924110264704,100.0,8819.589027905296,99.87077886631037,6553382.30841794,15099716.602455515,6.0010963949964715,95.62214021187695,95.62214021187695,0.0,10171.990376528647,1,5646.9803775731125,2024-01-23 01:30:16.078000069,2024-01-23 01:30:16.078,0,,,,,Normal,2024,1,23,1,30,16,78,115.9,100.0,95.134735,4.865264892578125,0.04997802048636443,0
116.0,1.0630047713721242,5646.015826246392,307.9263718101393,95.61494398096514,8819.641746081437,8819.641753868658,564.1165114242214,590.7469454386352,15099698.395985886,6.001097547180913,554.5479394788002,554.5479394917943,6552860.058414677,0.5765775903041146,0.5765775900968992,1458.7730775904356,826.2899948915077,577.4054964589211,0.5765775903041146,6552860.059053769,740.6751908331472,100.0,8819.641746081437,99.8706655180412,6552860.058414677,15099698.395985886,6.001097547180913,95.61494398096514,95.61494398096514,0.0,10176.637352584406,1,5646.015826246392,2024-01-23 01:30:16.180000067,2024-01-23 01:30:16.180,0,,,,,Normal,2024,1,23,1,30,16,180,116.0,100.0,95.15287,4.847129821777344,0.049791729511460735,0
116.10000000000001,1.063687104543526,5645.0685056230695,307.9232563627359,95.60779344904181,8819.693828915635,8819.69383670203,564.108949910928,590.7350511799317,15099680.165563596,6.001098700924628,554.542595851347,554.5425958643382,6552334.479532994,0.5769871128317964,0.576987112624694,1458.6510456040032,826.276982184406,577.39577425125,0.5769871128317964,6552334.480171793,740.7570349338423,100.0,8819.693828915635,99.87055262938675,6552334.479532994,15099680.165563596,6.001098700924628,95.60779344904181,95.60779344904181,0.0,10181.272472671648,1,5645.0685056230695,2024-01-23 01:30:16.272000074,2024-01-23 01:30:16.272,0,,,,,Normal,2024,1,23,1,30,16,272,116.10000000000001,100.0,95.170654,4.829345703125,0.04960904366270158,0
116.2,1.0643660455176724,5644.136567446658,307.9201915034893,95.60068801755021,8819.745344198976,8819.745351984555,564.101477723634,590.7232920090884,15099661.911159147,6.001099856229664,554.5372101848516,554.537210197837,6551804.83921395,0.5774014280234598,0.57740142781647,1458.5337002940062,826.2641628000162,577.3861641877345,0.5774014280234598,6551804.839852458,740.8380836996124,100.0,8819.745344198976,99.87044013467369,6551804.83921395,15099661.911159147,6.001099856229664,95.60068801755021,95.60068801755021,0.0,10185.896806180346,1,5644.136567446658,2024-01-23 01:30:16.374000072,2024-01-23 01:30:16.374,0,,,,,Normal,2024,1,23,1,30,16,374,116.2,100.0,95.188156,4.8118438720703125,0.04942925758931955,0
116.30000000000001,1.0650416125035567,5643.217961547619,307.9171704900198,95.59362787268451,8819.796366231141,8819.79637401588,564.0940864112029,590.7116674724751,15099643.632743008,6.001101013098064,554.5317788702496,554.5317788832291,6551270.709742478,0.5778205041947583,0.5778205039878818,1458.4196880704544,826.2515345400175,577.3766618121385,0.5778205041947583,6551270.710380694,740.9184737634015,100.0,8819.796366231141,99.87032796149418,6551270.709742478,15099643.632743008,6.001101013098064,95.59362787268451,95.59362787268451,0.0,10190.51126372797,1,5643.217961547619,2024-01-23 01:30:16.486000061,2024-01-23 01:30:16.486,0,,,,,Normal,2024,1,23,1,30,16,486,116.30000000000001,100.0,95.20543,4.7945709228515625,0.04925182268516222,0
116.4,1.0657138200460987,5642.310514063072,307.91418617315827,95.58661399819994,8819.846972291427,8819.84698007532,564.0867666156345,590.7001758800682,15099625.33028562,6.001102171531875,554.5263005737291,554.5263005867026,6550731.959948104,0.5782442909785467,0.5782442907717844,1458.307723533914,826.2390953059246,577.3672615971451,0.5782442909785467,6550731.960586024,740.998334108074,100.0,8819.846972291427,99.87021603421313,6550731.959948104,15099625.33028562,6.001102171531875,95.58661399819994,95.58661399819994,0.0,10195.116591250244,1,5642.310514063072,2024-01-23 01:30:16.575000048,2024-01-23 01:30:16.575,0,,,,,Normal,2024,1,23,1,30,16,575,116.4,100.0,95.22254,4.777458190917969,0.04907603359946218,0
116.5,1.0663826793116729,5641.412003971364,307.9112312486446,95.57964814120503,8819.897239082897,8819.897246865967,564.079508434868,590.6888142823077,15099607.003757391,6.001103331533148,554.5207761056929,554.5207761186637,6550188.736488824,0.5786727208167373,0.5786727206100886,1458.1966275800353,826.2268431188093,577.357957114387,0.5786727208167373,6550188.737126453,741.0777826623242,100.0,8819.897239082897,99.87010427751403,6550188.736488824,15099607.003757391,6.001103331533148,95.57964814120503,95.57964814120503,0.0,10199.713369175184,1,5641.412003971364,2024-01-23 01:30:16.670000076,2024-01-23 01:30:16.670,0,,,,,Normal,2024,1,23,1,30,16,670,116.5,100.0,95.239555,4.760444641113281,0.04890126335375951,0
116.60000000000001,1.0670481984659446,5640.520236261177,307.9082984977588,95.57273273458433,8819.947242218732,8819.94725000098,564.0723017087707,590.6775785027965,15099588.653128698,6.001104493103933,554.5152095076704,554.5152095206353,6549641.436990194,0.5791057109504693,0.5791057107439337,1458.085358995096,826.2147761357264,577.3487411938988,0.5791057109504693,6549641.437627534,741.1569235001227,100.0,8819.947242218732,99.86999261691459,6549641.436990194,15099588.653128698,6.001104493103933,95.57273273458433,95.57273273458433,0.0,10204.30201636954,1,5640.520236261177,2024-01-23 01:30:16.769999981,2024-01-23 01:30:16.770,0,,,,,Normal,2024,1,23,1,30,16,769,116.60000000000001,100.0,95.25649,4.743507385253906,0.04872727683113174,0
