No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
26,1.874549,192.168.0.2,192.168.0.1,COTP,145,0.311478,56667,102,631,1897,128,"Jan 22, 2024 16:20:43.790905000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
27,1.875027,192.168.0.2,192.168.0.1,COTP,61,0.000478,56667,102,722,1951,128,"Jan 22, 2024 16:20:43.791383000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
28,1.875158,192.168.0.2,192.168.0.1,COTP,61,0.000131,56667,102,729,2213,128,"Jan 22, 2024 16:20:43.791514000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
29,1.897989,192.168.0.2,192.168.0.1,COTP,61,0.171253,56665,102,22,310,128,"Jan 22, 2024 16:20:43.814345000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
30,1.954744,PcsCompu_53:3b:4f,LLDP_Multicast,LLDP,152,,,,,,,"Jan 22, 2024 16:20:43.871100000 China Standard Time",,,,,,"LA/windows10 LA/port-001 20 SysN=WINDOWS10 SysD=innotek GmbH VirtualBox,1.2,0 + HMI RTClass3 Port Status = OFF",Abnormal
31,2.186997,192.168.0.2,192.168.0.1,COTP,145,0.311839,56667,102,736,2213,128,"Jan 22, 2024 16:20:44.103353000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
32,2.187503,192.168.0.2,192.168.0.1,COTP,61,0.000506,56667,102,827,2267,128,"Jan 22, 2024 16:20:44.103859000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
33,2.187907,192.168.0.2,192.168.0.1,COTP,61,0.000404,56667,102,834,2529,128,"Jan 22, 2024 16:20:44.104263000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
34,2.238429,192.168.0.13,192.168.0.1,TCP,60,0,39874,102,1,1,64,"Jan 22, 2024 16:20:44.154785000 China Standard Time",,,,,,39874  >  102 [ACK] Seq=1 Ack=1 Win=64053 Len=0,Abnormal
35,2.238536,192.168.0.13,192.168.0.1,TCP,60,0,53998,102,1,1,64,"Jan 22, 2024 16:20:44.154892000 China Standard Time",,,,,,53998  >  102 [ACK] Seq=1 Ack=1 Win=64069 Len=0,Abnormal
